Number of all non-redundant significant rules 183.
Number of added sets 16574. Number of frequency evaluations 25830.
Number of explicitely tested rules at most tests=49531
Since measure was ln(p), ln(p*tests)=valM+ln(tests)=-63.27.
The best rules: (gamma=lift, delta=leverage)
32 -> 31 fr=209 (0.3725), cf=1.000, gamma=2.684, delta=0.234, M=-3.671e+02
3 -> ~32 fr=352 (0.6275), cf=1.000, gamma=1.594, delta=0.234, M=-3.671e+02
3 -> ~31 fr=352 (0.6275), cf=1.000, gamma=1.594, delta=0.234, M=-3.671e+02
18 -> ~2 fr=462 (0.8235), cf=1.000, gamma=1.214, delta=0.145, M=-2.583e+02
27 -> ~10 fr=390 (0.6952), cf=1.000, gamma=1.323, delta=0.170, M=-2.259e+02
17 -> ~1 fr=388 (0.6916), cf=1.000, gamma=1.293, delta=0.157, M=-1.993e+02
14 -> ~29 fr=392 (0.6988), cf=1.000, gamma=1.284, delta=0.154, M=-1.979e+02
22 -> ~8 fr=408 (0.7273), cf=1.000, gamma=1.252, delta=0.146, M=-1.934e+02
35 -> ~11 fr=369 (0.6578), cf=1.000, gamma=1.269, delta=0.140, M=-1.620e+02
69 -> ~12 fr=291 (0.5187), cf=1.000, gamma=1.403, delta=0.149, M=-1.539e+02
2 -> 12 fr=99 (0.1765), cf=1.000, gamma=3.484, delta=0.126, M=-1.537e+02
18 -> ~12 fr=400 (0.7130), cf=0.866, gamma=1.214, delta=0.126, M=-1.537e+02
25 -> ~54 fr=371 (0.6613), cf=1.000, gamma=1.252, delta=0.133, M=-1.532e+02
127 -> 126 fr=34 (0.0606), cf=1.000, gamma=16.500, delta=0.057, M=-1.256e+02
19 -> ~5 fr=281 (0.5009), cf=1.000, gamma=1.342, delta=0.128, M=-1.242e+02
6 -> ~26 fr=274 (0.4884), cf=1.000, gamma=1.355, delta=0.128, M=-1.236e+02
37 -> ~21 fr=280 (0.4991), cf=1.000, gamma=1.342, delta=0.127, M=-1.235e+02
23 -> ~15 fr=410 (0.7308), cf=1.000, gamma=1.161, delta=0.102, M=-1.213e+02
19 -> ~68 fr=281 (0.5009), cf=1.000, gamma=1.323, delta=0.122, M=-1.176e+02
6 -> ~20 fr=274 (0.4884), cf=1.000, gamma=1.333, delta=0.122, M=-1.162e+02
23 -> ~214 fr=410 (0.7308), cf=1.000, gamma=1.147, delta=0.094, M=-1.102e+02
7 21 68 69 -> 127 fr=33 (0.0588), cf=0.846, gamma=13.962, delta=0.055, M=-1.044e+02
7 18 21 68 -> 127 fr=33 (0.0588), cf=0.846, gamma=13.962, delta=0.055, M=-1.044e+02
7 21 68 69 -> 126 fr=33 (0.0588), cf=0.846, gamma=13.962, delta=0.055, M=-1.044e+02
7 18 21 68 -> 126 fr=33 (0.0588), cf=0.846, gamma=13.962, delta=0.055, M=-1.044e+02
7 21 69 -> 127 fr=34 (0.0606), cf=0.773, gamma=12.750, delta=0.056, M=-1.040e+02
7 21 69 -> 126 fr=34 (0.0606), cf=0.773, gamma=12.750, delta=0.056, M=-1.040e+02
7 21 68 -> 127 fr=33 (0.0588), cf=0.825, gamma=13.613, delta=0.055, M=-1.026e+02
7 21 68 -> 126 fr=33 (0.0588), cf=0.825, gamma=13.613, delta=0.055, M=-1.026e+02
7 18 21 -> 127 fr=34 (0.0606), cf=0.694, gamma=11.449, delta=0.055, M=-9.752e+01
7 18 21 -> 126 fr=34 (0.0606), cf=0.694, gamma=11.449, delta=0.055, M=-9.752e+01
15 -> 2 fr=63 (0.1123), cf=0.808, gamma=4.577, delta=0.088, M=-9.685e+01
18 -> ~15 fr=447 (0.7968), cf=0.968, gamma=1.124, delta=0.088, M=-9.685e+01
25 -> ~4 fr=371 (0.6613), cf=1.000, gamma=1.159, delta=0.091, M=-9.592e+01
3 4 21 69 -> 127 fr=29 (0.0517), cf=0.967, gamma=15.950, delta=0.048, M=-9.564e+01
3 4 21 69 -> 126 fr=29 (0.0517), cf=0.967, gamma=15.950, delta=0.048, M=-9.564e+01
7 21 -> 127 fr=34 (0.0606), cf=0.654, gamma=10.788, delta=0.055, M=-9.422e+01
7 21 -> 126 fr=34 (0.0606), cf=0.654, gamma=10.788, delta=0.055, M=-9.422e+01
7 68 69 -> 127 fr=33 (0.0588), cf=0.717, gamma=11.837, delta=0.054, M=-9.402e+01
7 18 68 -> 127 fr=33 (0.0588), cf=0.717, gamma=11.837, delta=0.054, M=-9.402e+01
7 68 69 -> 126 fr=33 (0.0588), cf=0.717, gamma=11.837, delta=0.054, M=-9.402e+01
7 18 68 -> 126 fr=33 (0.0588), cf=0.717, gamma=11.837, delta=0.054, M=-9.402e+01
69 -> ~204 fr=291 (0.5187), cf=1.000, gamma=1.241, delta=0.101, M=-9.397e+01
4 21 68 69 -> 127 fr=29 (0.0517), cf=0.935, gamma=15.435, delta=0.048, M=-9.291e+01
3 4 21 68 -> 127 fr=29 (0.0517), cf=0.935, gamma=15.435, delta=0.048, M=-9.291e+01
4 21 68 69 -> 126 fr=29 (0.0517), cf=0.935, gamma=15.435, delta=0.048, M=-9.291e+01
3 4 21 68 -> 126 fr=29 (0.0517), cf=0.935, gamma=15.435, delta=0.048, M=-9.291e+01
4 21 68 -> 127 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
4 7 68 -> 127 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
4 21 68 -> 126 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
4 7 68 -> 126 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
3 4 68 69 -> 127 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
3 4 68 69 -> 126 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
7 68 -> 127 fr=33 (0.0588), cf=0.673, gamma=11.112, delta=0.054, M=-9.053e+01
7 68 -> 126 fr=33 (0.0588), cf=0.673, gamma=11.112, delta=0.054, M=-9.053e+01
3 9 -> 7 fr=155 (0.2763), cf=0.442, gamma=1.598, delta=0.103, M=-8.964e+01
35 -> ~28 fr=369 (0.6578), cf=1.000, gamma=1.150, delta=0.086, M=-8.921e+01
7 -> 3 fr=155 (0.2763), cf=1.000, gamma=1.594, delta=0.103, M=-8.906e+01
32 -> ~7 fr=209 (0.3725), cf=1.000, gamma=1.382, delta=0.103, M=-8.906e+01
31 -> ~7 fr=209 (0.3725), cf=1.000, gamma=1.382, delta=0.103, M=-8.906e+01
